customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchase,payment_method,frequency_of_purchase
1,55,Male,Blouse,Clothing,57,Kentucky,L,Gray,Winter,3.1,TRUE,Express,TRUE,TRUE,14,Venmo,Fortnightly
2,19,Male,Sweater,Clothing,125,Maine,L,Maroon,Winter,3.1,TRUE,Express,TRUE,TRUE,2,Cash,Fortnightly
3,50,Male,Jeans,Clothing,78,Massachusetts,S,Maroon,Spring,3.1,TRUE,Free Shipping,TRUE,TRUE,23,Credit Card,Weekly
4,21,Male,Sandals,Footwear,155,Rhode Island,M,Maroon,Spring,3.5,TRUE,Next Day Air,TRUE,TRUE,49,PayPal,Weekly
5,45,Male,Blouse,Clothing,53,Oregon,M,Turquoise,Spring,2.7,TRUE,Free Shipping,TRUE,TRUE,31,PayPal,Annually
6,46,Male,Sneakers,Footwear,162,Wyoming,M,White,Summer,2.9,TRUE,Standard,TRUE,TRUE,14,Venmo,Weekly
7,63,Male,Shirt,Clothing,50,Montana,M,Gray,Fall,3.2,TRUE,Free Shipping,TRUE,TRUE,49,Cash,Quarterly
8,27,Male,Shorts,Clothing,114,Louisiana,L,Charcoal,Winter,3.2,TRUE,Free Shipping,TRUE,TRUE,19,Credit Card,Weekly
9,26,Male,Coat,Outerwear,146,West Virginia,L,Silver,Summer,2.6,TRUE,Express,TRUE,TRUE,8,Venmo,Annually
10,57,Male,Handbag,Accessories,79,Missouri,M,Pink,Spring,4.8,TRUE,2-Day Shipping,TRUE,TRUE,4,Cash,Quarterly
11,53,Male,Shoes,Footwear,103,Arkansas,L,Purple,Fall,4.1,TRUE,Store Pickup,TRUE,TRUE,26,Bank Transfer,Bi-Weekly
12,30,Male,Shorts,Clothing,155,Hawaii,S,Olive,Winter,4.9,TRUE,Store Pickup,TRUE,TRUE,10,Bank Transfer,Fortnightly
13,61,Male,Coat,Outerwear,50,Delaware,M,Gold,Winter,4.5,TRUE,Express,TRUE,TRUE,37,Venmo,Fortnightly
